icd_code,node_code,match_type,mapping_note
V22.3,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V23.3,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V24.3,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V26.3,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V27.3,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V28.3,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V30.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V31.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V32.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V33.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V34.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V35.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V36.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V37.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V38.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V40.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V41.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V42.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V43.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V44.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V45.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V46.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V47.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V48.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V50.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V51.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V52.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V53.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V54.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V55.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V56.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V57.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V58.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V60.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V61.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V62.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V63.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V64.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V65.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V66.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V67.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V68.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V70.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V71.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V72.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V73.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V74.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V75.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V76.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V77.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V78.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V83.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V84.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V85.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
V86.4,vas_12_01,owner_decision,"Owner decision 12 (2026-09-24): person injured while boarding or alighting goes to Road traffic, matching WHO's ICD-10 to ICD-11 table (a PA0x traffic code)"
I50.0,vas_04_01,owner_decision,Owner decision 10 (2026-09-24): heart failure is Acute cardiac in both classifications (matches I50 override and WHO footnote c)
I50.9,vas_04_01,owner_decision,Owner decision 10 (2026-09-24): heart failure is Acute cardiac in both classifications (matches I50 override and WHO footnote c)
V10,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V11,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V12,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V13,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V14,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V15,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V16,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V17,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V18,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V19,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V20,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V21,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V22,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V23,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V24,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V25,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V26,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V27,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V28,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V29,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V30,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V31,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V32,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V33,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V34,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V35,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V36,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V37,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V38,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V39,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V40,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V41,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V42,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V43,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V44,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V45,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V46,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V47,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V48,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V49,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V50,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V51,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V52,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V53,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V54,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V55,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V56,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V57,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V58,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V59,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V60,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V61,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V62,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
V63,vas_12_01,owner_decision,"Owner decision 16 (2026-09-25): WHO's ICD-10 V01-V99 chapter note assumes traffic for unspecified vehicle accidents V10-V82 and V87 (nontraffic for V83-V86), so this three-character code goes to Road traffic. Re-buckets historical records only; nobody is re-coded."
